delivery_id,delivery_date,delivery_status,order_id,delivery_cost
1,2020-06-16,ordered,54-366-6861,60.51
2,2020-08-25,ordered,63-761-3686,96.75
3,2021-08-17,delivered,65-351-6434,36.37
4,2021-08-17,ordered,36-917-2834,5.49
5,2020-12-21,in_van,86-114-9232,63.64
6,2020-03-01,delivered,67-709-5581,5.04
7,2021-10-06,ready,80-076-4032,56.95
8,2021-10-12,ordered,56-271-4185,91.05
9,2021-12-27,ready,43-052-9931,86.28
10,2020-03-05,delivered,15-663-0481,31.34
11,2019-07-20,delivered,23-582-1221,85.08
12,2022-06-26,delivered,61-057-1975,25.98
13,2020-12-05,ordered,87-599-0366,96.84
14,2022-04-16,delivered,85-795-3011,31.22
15,2020-08-23,delivered,08-270-7581,88.76
16,2020-10-01,delivered,05-410-4163,63.21
17,2019-09-07,ordered,82-639-1298,17.25
18,2021-04-30,ordered,81-875-5053,39.30
19,2020-04-15,in_van,69-780-6998,53.56
20,2020-04-24,ordered,45-989-0711,28.60
21,2019-10-03,ordered,10-052-8149,61.97
22,2021-06-09,ordered,87-988-3093,36.98
23,2020-06-04,ready,04-812-8753,27.07
24,2021-11-03,ready,56-331-9919,60.52
25,2020-02-03,ready,35-371-2486,56.51
26,2019-09-14,ordered,24-714-2660,10.69
27,2020-08-28,in_van,00-465-7031,95.63
28,2021-04-23,ordered,01-975-7149,27.41
29,2019-08-09,ordered,92-747-8084,41.35
30,2022-04-14,ordered,81-819-6997,81.65
31,2022-01-28,ordered,48-370-5933,29.39
32,2021-04-04,ordered,87-939-7467,80.78
33,2021-11-24,in_van,20-205-9814,89.49
34,2022-04-08,in_van,37-563-3518,85.67
35,2019-08-13,in_van,35-988-0040,3.41
36,2022-02-28,in_van,60-197-5739,84.09
37,2019-08-11,in_van,36-383-1600,49.69
38,2022-05-04,delivered,61-096-3317,15.90
39,2020-10-06,delivered,30-867-3284,80.86
40,2021-01-29,ordered,29-601-2712,33.70
41,2019-08-14,delivered,28-387-3547,18.60
42,2021-11-26,ordered,33-596-6321,86.02
43,2019-09-29,in_van,48-873-2607,35.33
44,2022-04-13,in_van,46-671-2432,31.82
45,2020-12-12,ordered,67-067-9693,54.59
46,2022-11-22,ordered,94-148-7497,51.93
47,2021-08-16,ready,90-921-1904,45.57
48,2021-06-13,ordered,87-546-5058,78.35
49,2021-02-05,ready,25-522-2006,17.19
50,2022-03-08,in_van,69-765-1585,83.86
51,2022-12-02,ready,17-146-9681,91.47
52,2019-12-19,ordered,76-063-7709,60.40
53,2022-05-28,in_van,39-647-4894,22.02
54,2020-03-31,in_van,84-561-9421,32.74
55,2021-01-14,ready,08-152-8962,51.13
56,2022-08-15,delivered,83-499-1350,54.68
57,2022-03-28,in_van,39-613-0627,62.40
58,2022-02-16,in_van,56-545-1829,63.51
59,2021-10-13,in_van,42-906-2475,3.76
60,2020-08-25,ordered,90-989-2851,43.56
61,2021-06-20,ready,17-851-5705,9.37
62,2021-01-15,ordered,20-698-8725,81.98
63,2021-12-04,ordered,62-918-2454,21.45
64,2019-11-06,ready,09-019-6593,32.78
65,2019-07-04,in_van,73-876-5941,46.02
66,2021-10-09,in_van,05-825-9260,95.19
67,2021-09-06,delivered,55-263-8669,31.52
68,2020-08-31,delivered,75-655-7346,55.26
69,2019-08-07,delivered,23-760-0421,82.34
70,2022-10-19,in_van,02-938-1657,48.78
71,2021-12-20,in_van,00-669-6040,29.71
72,2019-08-18,delivered,58-064-3049,48.52
73,2020-05-29,in_van,30-969-9125,26.73
74,2019-12-12,ready,89-262-2574,19.95
75,2022-05-18,ordered,56-933-2115,22.75
76,2021-06-09,ordered,14-210-2413,22.40
77,2021-04-29,ready,51-322-7429,65.44
78,2022-01-25,ready,57-755-0191,55.93
79,2021-08-15,ordered,49-841-5624,45.30
80,2019-07-18,ordered,58-287-7773,7.25
81,2022-08-13,in_van,91-284-4644,69.28
82,2021-01-09,ready,49-366-5985,17.37
83,2022-07-07,ready,40-107-4974,15.72
84,2020-07-04,delivered,46-301-6761,71.12
85,2022-08-22,delivered,02-266-1313,9.94
86,2020-11-21,ordered,60-270-8291,4.27
87,2020-12-14,delivered,68-226-7897,64.77
88,2019-11-02,ordered,69-624-5454,77.22
89,2022-08-25,ordered,90-389-3298,29.57
90,2020-02-25,ready,84-017-7714,71.10
91,2019-11-04,in_van,36-779-8330,30.69
92,2019-09-14,ready,89-464-8624,5.97
93,2022-08-17,ready,14-224-3137,64.97
94,2019-11-02,delivered,30-148-2955,83.78
95,2022-05-08,ready,65-301-1388,28.90
96,2022-02-20,in_van,55-734-7101,4.52
97,2021-04-20,ordered,92-838-7961,47.22
98,2021-01-23,delivered,46-715-1183,60.19
99,2021-12-14,delivered,64-569-9390,13.63
100,2020-03-01,ready,92-282-7155,22.46
101,2022-06-08,ready,31-576-8678,92.87
102,2021-06-20,delivered,86-581-4964,76.56
103,2019-10-14,in_van,56-840-9304,16.00
104,2022-08-14,ordered,52-071-2704,16.17
105,2021-12-21,ordered,80-215-3898,74.87
106,2020-02-19,ordered,44-357-1100,65.51
107,2020-02-29,ready,22-904-5860,4.66
108,2022-12-13,delivered,07-113-3748,49.98
109,2021-12-30,ordered,24-998-9967,65.47
110,2021-05-07,ordered,80-923-1183,70.45
111,2019-09-19,delivered,10-390-3471,44.70
112,2020-03-11,delivered,28-608-5137,63.85
113,2021-12-31,ordered,12-837-0577,27.86
114,2021-05-08,ordered,25-485-3794,52.95
115,2022-09-22,in_van,78-407-9810,92.87
116,2022-07-18,ordered,57-417-7291,43.79
117,2021-02-04,ordered,27-077-0389,24.52
118,2021-12-16,ordered,31-607-0351,45.83
119,2022-01-24,ready,15-667-9235,79.34
120,2022-06-17,ready,76-705-8000,1.65
121,2020-12-24,delivered,97-507-9861,77.23
122,2019-11-21,in_van,53-430-9568,37.86
123,2020-01-19,delivered,98-889-5403,84.98
