order_id,customer_id,order_date,cost,sales,quantity,discount,staff_id,menu_name,,,,,
00-008-3271,50-245-9029,2021-05-24,310.00,465.00,2,67.77,2,Palermo_6,,,,,
00-283-3544,07-369-4272,2022-07-02,69.38,104.07,2,53.53,5,Palermo_1,,,,,
00-350-1396,39-459-6791,2019-11-13,83.99,125.99,1,97.48,5,Palermo_5,,,,,
00-451-8857,11-253-6502,2022-11-29,225.00,337.50,1,20.00,4,Palermo_3,,,,,
00-465-7031,84-300-6499,2020-08-25,310.00,465.00,3,91.14,6,Athens_5,,,,,
00-618-9205,49-449-2339,2020-09-28,83.99,125.99,3,67.77,5,Athens_6,,,,,
00-669-6040,38-206-8901,2021-12-19,190.00,285.00,2,9.71,4,Roma_6,,,,,
00-799-3091,46-324-1886,2021-09-26,101.60,152.40,3,97.48,5,Athens_3,,,,,
00-822-8333,40-189-3632,2021-04-12,133.17,199.76,3,9.71,4,Ankara_6,,,,,
00-965-9450,63-784-1408,2022-02-15,168.27,252.41,2,37.04,6,Palermo_4,,,,,
01-062-3384,72-073-0415,2021-10-11,44.57,66.86,1,73.09,2,Palermo_1,,,,,
01-423-8434,84-031-0794,2022-10-03,75.00,112.50,3,17.40,4,Athens_4,,,,,
01-715-3869,85-164-1355,2022-03-13,91.84,137.76,3,37.04,6,Roma_6,,,,,
01-733-5889,32-395-2589,2022-05-28,83.99,125.99,1,20.00,6,Kusadasi_4,,,,,
01-754-7255,97-850-3306,2020-07-03,190.00,285.00,2,23.00,2,Corfu_5,,,,,
01-855-8188,68-435-7756,2021-02-19,320.00,480.00,3,61.49,3,Roma_6,,,,,
01-877-6020,07-280-9648,2021-06-09,52.08,78.12,2,54.08,2,Ankara_5,,,,,
01-879-8004,27-611-0020,2021-07-28,235.00,352.50,3,35.44,2,Corfu_5,,,,,
01-975-7149,93-913-0650,2021-04-22,225.00,337.50,3,97.48,1,Athens_1,,,,,
01-981-5069,85-779-8174,2020-07-26,75.00,112.50,2,54.08,1,Athens_1,,,,,
02-211-2785,68-296-9308,2021-09-09,52.08,78.12,3,68.89,3,Ankara_3,,,,,
02-266-1313,81-286-3465,2022-08-19,125.00,187.50,2,67.77,5,Corfu_4,,,,,
02-311-4674,58-358-2956,2022-06-30,124.62,186.93,1,89.84,2,Athens_5,,,,,
02-569-3156,51-678-5620,2020-06-03,235.00,352.50,1,11.23,2,Roma_2,,,,,
02-699-8406,09-563-6732,2022-08-26,310.00,465.00,2,9.12,6,Roma_4,,,,,
02-715-2965,59-575-5435,2022-10-26,190.00,285.00,3,91.41,5,Corfu_1,,,,,
02-732-6800,95-863-7435,2022-12-07,144.09,216.14,3,47.84,6,Palermo_5,,,,,
02-938-1657,25-492-4931,2022-10-16,225.00,337.50,1,91.41,1,Kusadasi_2,,,,,
03-039-5845,50-471-6999,2020-04-22,310.00,465.00,3,47.84,6,Ankara_3,,,,,
03-132-2890,44-057-4911,2022-11-05,91.84,137.76,2,35.44,2,Ankara_5,,,,,
03-248-8148,48-890-3098,2021-10-18,220.00,330.00,1,53.53,2,Palermo_6,,,,,
03-297-4257,46-176-6402,2019-08-23,190.00,285.00,2,73.09,6,Athens_4,,,,,
03-464-8128,66-302-7863,2021-09-30,220.00,330.00,3,54.08,4,Athens_6,,,,,
03-555-7951,80-277-5556,2022-08-21,75.00,112.50,2,89.84,6,Ankara_5,,,,,
03-568-8174,82-729-5605,2020-11-21,125.00,187.50,2,30.00,1,Palermo_6,,,,,
03-825-5219,36-854-2948,2020-04-29,52.08,78.12,2,20.00,6,Ankara_2,,,,,
03-893-8767,27-609-7148,2020-04-25,220.00,330.00,1,17.40,4,Palermo_6,,,,,
03-955-4532,33-530-9357,2022-09-28,44.57,66.86,1,37.04,3,Corfu_1,,,,,
04-003-4647,57-924-8318,2020-10-31,310.00,465.00,2,51.05,1,Roma_4,,,,,
04-238-9179,13-951-6935,2021-01-13,235.00,352.50,1,15.00,5,Roma_4,,,,,
04-546-8049,71-674-3925,2022-11-23,93.13,139.70,2,9.71,2,Corfu_6,,,,,
04-743-8019,80-273-1248,2020-02-12,119.80,179.70,1,61.49,1,Ankara_4,,,,,
04-812-8753,84-136-7752,2020-06-01,75.00,112.50,2,67.77,4,Palermo_5,,,,,
04-904-4552,93-077-9628,2021-07-14,91.84,137.76,2,17.40,5,Roma_6,,,,,
04-911-6551,72-364-9120,2019-10-09,144.09,216.14,2,54.08,5,Roma_5,,,,,
04-976-7880,18-234-4252,2022-12-31,168.27,252.41,2,9.12,6,Roma_2,,,,,
